Title,Movie Page URL,Cover Image URL,Extracted Stream URLs
Elize: Shadows of a Woman (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/elize-shadows-of-a-woman-2026-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/FzZ8NGlSDFYJ7g9f2aURPvItFt.jpg
",Status: NO_STREAMS_FOUND
Mukhbir: The Story of a Spy – The Movie (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/mukhbir-the-story-of-a-spy-the-movie-2026-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/lVaYF8f7SEXEt7tC8JH1Ld9gQF5.jpg
",Server Player 01 [No Ads - CS Player]: https://cs06.avatarzone.online/Mukhbir%20The%20Story%20of%20a%20Spy%20(2026)%20Hindi%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Player 02 [With Ads - Evo Player]: https://evostream.top/video/8d2583b317ce1bd4962cec8605c5676a
Aval (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/aval-2026-sinhala-subtitles/,https://cinesubz.net/wp-content/uploads/2026/07/bzoKVgb5YoozTwFRQqCH88Sy8E5.jpg,Server CS Player: https://cs06.avatarzone.online/Aval%20(2025)%20Malayalam%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/ae816a80e4c1c56caa2eb4e1819cbb2f
Purushaha (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/purushaha-2026-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/82THhculVV59HhsigDjNSrwPD5.jpg,Server CS Player: https://cs06.avatarzone.online/Purushaha%20(2026)%20Telugu%20WEB-[CineSubz.co]-720p.mp4?play=true
Mylanji (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/mylanji-2026-sinhala-subtitles/,https://cinesubz.net/wp-content/uploads/2026/07/88CE1iiFGBZWM2JgWaqta7XloXu.jpg,Server CS Player: https://cs06.avatarzone.online/Mylanji%20(2026)%20Tamil%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://cs06.avatarzone.online/Mylanji%20(2026)%20Tamil%20WEB-[CineSubz.co]-720p.mp4?play=true
Secret of Kalinga (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/secret-of-kalinga-2026-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/1gCAMqd8SKeQEzbgKRwTwzvrxgX.jpg,Server CS Player: https://cs06.avatarzone.online/Secret%20of%20Kalinga%20(2026)%20Malayalam%C2%A0WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/066999ed9322bd434f20ad5ec4dd6b48
Suzzanna: Witchcraft (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/suzzanna-witchcraft-2026-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/x1xLzh1w9wn9lq5KCzlrxIQWzS0.jpg,Server CS Player: https://cs06.avatarzone.online/Suzzanna%20Witchcraft%20(2026)%20Indonesian%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/f2d34fcd37e85f9867708bf71782cda6
The Debt Collector (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/the-debt-collector-2026-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/5Va6qlwvpneo0XLzGFlvgYH5ncP.jpg
",Server CS Player: https://cs06.avatarzone.online/The%20Debt%20Collector%20(2026)%20Thai%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/420c841038c492fed4d19999a813009d
The Lost Daughter (2024) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/the-lost-daughter-2024-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/7SnBO0GdQ5cNvq8eW6xv5aTmcGB.jpg
",Server CS Player: https://cs06.avatarzone.online/The%20Lost%20Daughter%20(2024)%20English%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/24322cab50d699df38e74ee891f86f77
Pet Sematary II (1992) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/pet-sematary-ii-1992-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/v9UmZt6zFT21vpK54ko8RhaygLX.jpg
",Server CS Player: https://cs06.avatarzone.online/Pet%20Sematary%20II%20(1992)%20English%20BluRay-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/e833aecdce1507964e8c9d3f72f86829
Pet Sematary (1989) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/pet-sematary-1989-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/xWq3T9P4NU2pTdZ3hXFygsNnAq4.jpg
",Server CS Player: https://cs06.avatarzone.online/Pet%20Sematary%20(1989)%20English%20BluRay-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/8dff42bf16b4df68b84507b5d12b9f0e
Idhayam Murali (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/idhayam-murali-2026-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/iE5QgvjnHJGVBAeP5hBohVnMSHQ.jpg
",Server Evo Player: https://evostream.top/video/0b0ee8b71cee482463da696285a4def0
Pallichattambi (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/pallichattambi-2026-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/tF8RQduvq8k2yGsJbfowswmSN51.jpg,Server Player 02 [With Ads - Evo Player]: https://cs06.avatarzone.online/Pallichattambi%20(2026)%20Malayalam%20WEB-[CineSubz.co]-720p.mp4?play=true
Con City (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/con-city-2026-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/jzDjIHDknKz9jhTvBF9aSeoax1V.jpg
",Server CS Player: https://cs06.avatarzone.online/Con%20City%20(2026)%20Tamil%20WEB-[CineSubz.co]-720p.mp4?play=true
Dooradarshini (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/dooradarshini-2026-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/3U3be74idaatheHxW56p8JMRzGQ.jpg,Server CS Player: https://cs06.avatarzone.online/Dooradarshini%20(2026)%20Telugu%20WEB-[CineSubz.co]-720p.mp4?play=true
Nagabandham (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/nagabandham-2026-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/vrr8lu6Z7LvF75juTV1ZqwaVE5u.jpg,Server CS Player: https://cs06.avatarzone.online/Nagabandham%20(2026)%20Telugu%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://cs06.avatarzone.online/Nagabandham%20(2026)%20Telugu%20WEB-[CineSubz.co]-720p.mp4?play=true
Gatta Kusthi 2 (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/gatta-kusthi-2-2026-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/uygLz1ENt12Riv2ppTtdAIBRIT1.jpg
",Server Evo Player: https://evostream.top/video/469410db93f46bc8d2eb3a0b9717d326
Mollywood Times (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/mollywood-times-2026-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/wQwbainQ5CtPWbnwXX144rMIS4E.jpg
",Server CS Player: https://cs06.avatarzone.online/Mollywood%20Times%20(2026)%20Malayalam%20WEB-DL-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/867c51ec0949a1a888b8ddd7ccd77ca8
Scary Movie (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/scary-movie-2026-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/xWBiXclrRmTggQHMRsIn84YHavs.jpg
",Server Player 01 [No Ads - CS Player]: https://cs06.avatarzone.online/Scary%20Movie%20(2026)%20English%20WEB-DL-[CineSubz.co]-720p.mp4?play=true; Server Player 02 [With Ads - Evo Player]: https://evostream.top/video/ef0e27f5a8bf73583a680da7f20ef5e9
Masters of the Universe (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/masters-of-the-universe-2026-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/piV2OnzTZCyGBP9JCjlHIgKGlfo.jpg
",Server Player 01 [No Ads - CS Player]: https://cs06.avatarzone.online/Masters%20of%20the%20Universe%20(2026)%20English%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Player 02 [With Ads - Evo Player]: https://evostream.top/video/1e50b8b75ce32422bed8115d5da4fbaf
The Odyssey (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/the-odyssey-2026-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/r57L2UBLPKcHdZQYg8tagv9XqK2.jpg
",Status: NO_STREAMS_FOUND
Star Wars: The Mandalorian and Grogu (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/star-wars-the-mandalorian-and-grogu-2026-sinhala-subtitles/,"https://image.tmdb.org/t/p/w780/4lj7MZtcIDI2FmZXGkFWh0sNCsq.jpg
",Server Player 02 [With Ads - Evo Player]: https://evostream.top/video/324ceee24a671ea9383a804c12866b49
Disclosure Day (2026) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/disclosure-day-2026-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/pW4Ah1A6SgZNQNmf5AgiIYPzFHF.jpg,Server CS Player: https://cs06.avatarzone.online/Disclosure%20Day%20(2026)%20English%20WEB-[CineSubz.co]-720p.mp4?play=true
Rajathandhiram (2015) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/rajathandhiram-2015-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/2gqKjG8gjE5nV487ruz1tXZRgVs.jpg,Server CS Player: https://cs06.avatarzone.online/Rajathandhiram%20(2025)%20Tamil%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://cs06.avatarzone.online/Rajathandhiram%20(2025)%20Tamil%20WEB-[CineSubz.co]-720p.mp4?play=true
The Memory Keeper (2025) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/the-memory-keeper-2025-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/XVIlZyTtKWuMChIpZofCHiFPgh.jpg,Server CS Player: https://cs06.avatarzone.online/The%20Memory%20Keeper%20(2025)%20English%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/aed8c38949e3efc60bb86697f5c07c98
The Caretaker (2025) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/the-caretaker-2025-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/oQOKsgin0KLOyFzH7YyXsslFMJe.jpg,Server CS Player: https://cs06.avatarzone.online/The%20Caretaker%20(2025)%20English%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/4853deb8a06838c502fc6cb6ce91f704
Mumu (2025) Sinhala Subtitles | සිංහල උපසිරැසි සමඟ,https://cinesubz.lk/movies/mumu-2025-sinhala-subtitles/,https://image.tmdb.org/t/p/w780/7kbrHSRgOVq7EIBW6hcvZg39NMM.jpg,Server CS Player: https://cs06.avatarzone.online/MuMu%20(2025)%20Chinese%20WEB-[CineSubz.co]-720p.mp4?play=true; Server Evo Player: https://evostream.top/video/b458201027eb55a7a6dcb41b0af61993
